,Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Toll
0,1/6/2012,16:37,Friday,home,51.29,127.4,78.3,84.8,8.69,39.3,36.3,No
1,1/6/2012,8:20,Friday,work,51.63,130.3,81.8,88.9,8.69,37.9,34.9,No
2,1/4/2012,16:17,Wednesday,home,51.27,127.62,82.0,81.83,8.69,41.47856140136719,35.9,No
3,1/4/2012,7:53,Wednesday,work,49.17,132.3,74.2,82.9,8.69,39.8,35.6,No
4,1/3/2012,18:57,Tuesday,home,51.15,136.2,83.4,88.1,8.69,36.8,34.8,No
5,1/3/2012,7:57,Tuesday,work,51.8,135.8,84.5,81.83,8.69,41.362953186035156,35.0,No
6,1/2/2012,17:31,Monday,home,51.37,123.2,82.9,87.3,8.69,37.2,35.3,No
7,1/2/2012,7:34,Monday,work,49.01,128.3,77.5,81.83,8.69,37.9,34.3,No
8,12/23/2011,8:01,Friday,work,52.91,130.3,80.9,88.3,8.89,41.49890899658203,36.0,No
9,12/22/2011,17:19,Thursday,home,51.17,122.3,70.6,78.1,8.89,43.5,39.3,No
10,12/22/2011,8:16,Thursday,work,49.15,129.4,74.0,81.83,8.89,41.53843688964844,36.2,No
11,12/21/2011,7:45,Wednesday,work,51.77,124.8,71.7,78.9,8.89,43.3,39.4,No
12,12/20/2011,16:05,Tuesday,home,51.45,130.1,75.2,81.83,8.89,41.1,37.3,No
13,12/20/2011,6:04,Tuesday,work,49.01,119.0,77.4,82.0,8.89,38.0,35.9,No
14,12/19/2011,16:18,Monday,home,51.04,132.2,77.5,83.5,8.89,39.5,36.7,No
15,12/19/2011,7:34,Monday,work,52.0,137.8,76.5,87.8,8.89,40.8,35.5,No
16,12/16/2011,12:22,Friday,home,51.05,127.62,86.9,90.6,9.08,35.2,33.8,No
17,12/16/2011,7:21,Friday,work,49.04,124.6,71.1,81.83,9.08,41.4,36.7,No
18,12/15/2011,16:14,Thursday,home,51.06,126.9,80.5,84.9,9.08,41.40852355957031,36.1,No
19,12/15/2011,7:19,Thursday,work,51.68,123.5,68.1,75.8,9.08,41.56208038330078,40.9,No
20,12/14/2011,16:20,Wednesday,home,51.04,123.4,75.1,79.4,9.08,41.51101303100586,38.6,No
21,12/14/2011,7:23,Wednesday,work,51.67,123.5,76.6,82.7,9.08,40.5,37.5,No
22,12/13/2011,17:43,Tuesday,home,51.15,130.6,74.8,81.83,9.08,41.0,37.2,No
23,12/13/2011,7:25,Tuesday,work,49.19,126.1,65.4,74.2,9.08,45.1,39.8,No
24,12/12/2011,7:20,Monday,work,49.02,126.1,65.7,74.0,9.76,44.8,39.7,No
25,12/9/2011,12:04,Friday,home,51.14,126.8,87.3,90.2,9.76,35.2,34.0,No
