age,job,marital,education,default,housing,loan,is_telephone_contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
56,housemaid,married,basic.4y,no,no,no,yes,may,mon,261,1,999,0,nonexistent,no
57,services,married,high.school,,no,no,yes,may,mon,149,1,999,0,nonexistent,no
37,services,married,high.school,no,yes,no,yes,may,mon,226,1,999,0,nonexistent,no
40,admin.,married,basic.6y,no,no,no,yes,may,mon,151,1,999,0,nonexistent,no
56,services,married,high.school,no,no,yes,yes,may,mon,307,1,999,0,nonexistent,no
45,services,married,basic.9y,,no,no,yes,may,mon,198,1,999,0,nonexistent,no
59,admin.,married,professional.course,no,no,no,yes,may,mon,139,1,999,0,nonexistent,no
41,blue-collar,married,,,no,no,yes,may,mon,217,1,999,0,nonexistent,no
24,technician,single,professional.course,no,yes,no,yes,may,mon,380,1,999,0,nonexistent,no
25,services,single,high.school,no,yes,no,yes,may,mon,50,1,999,0,nonexistent,no
41,blue-collar,married,,,no,no,yes,may,mon,55,1,999,0,nonexistent,no
25,services,single,high.school,no,yes,no,yes,may,mon,222,1,999,0,nonexistent,no
29,blue-collar,single,high.school,no,no,yes,yes,may,mon,137,1,999,0,nonexistent,no
57,housemaid,divorced,basic.4y,no,yes,no,yes,may,mon,293,1,999,0,nonexistent,no
35,blue-collar,married,basic.6y,no,yes,no,yes,may,mon,146,1,999,0,nonexistent,no
54,retired,married,basic.9y,,yes,yes,yes,may,mon,174,1,999,0,nonexistent,no
35,blue-collar,married,basic.6y,no,yes,no,yes,may,mon,312,1,999,0,nonexistent,no
46,blue-collar,married,basic.6y,,yes,yes,yes,may,mon,440,1,999,0,nonexistent,no
50,blue-collar,married,basic.9y,no,yes,yes,yes,may,mon,353,1,999,0,nonexistent,no
39,management,single,basic.9y,,no,no,yes,may,mon,195,1,999,0,nonexistent,no
30,unemployed,married,high.school,no,no,no,yes,may,mon,38,1,999,0,nonexistent,no
55,blue-collar,married,basic.4y,,yes,no,yes,may,mon,262,1,999,0,nonexistent,no
55,retired,single,high.school,no,yes,no,yes,may,mon,342,1,999,0,nonexistent,no
41,technician,single,high.school,no,yes,no,yes,may,mon,181,1,999,0,nonexistent,no
37,admin.,married,high.school,no,yes,no,yes,may,mon,172,1,999,0,nonexistent,no
35,technician,married,university.degree,no,no,yes,yes,may,mon,99,1,999,0,nonexistent,no
59,technician,married,,no,yes,no,yes,may,mon,93,1,999,0,nonexistent,no
39,self-employed,married,basic.9y,,no,no,yes,may,mon,233,1,999,0,nonexistent,no
54,technician,single,university.degree,,no,no,yes,may,mon,255,2,999,0,nonexistent,no
55,,married,university.degree,,,,yes,may,mon,362,1,999,0,nonexistent,no
46,admin.,married,,no,no,no,yes,may,mon,348,1,999,0,nonexistent,no
59,technician,married,,no,yes,no,yes,may,mon,386,1,999,0,nonexistent,no
49,blue-collar,married,,no,no,no,yes,may,mon,73,1,999,0,nonexistent,no
54,management,married,basic.4y,,yes,no,yes,may,mon,230,1,999,0,nonexistent,no
54,blue-collar,divorced,basic.4y,no,no,no,yes,may,mon,208,1,999,0,nonexistent,no
55,,married,basic.4y,,yes,no,yes,may,mon,336,1,999,0,nonexistent,no
34,services,married,high.school,no,no,no,yes,may,mon,365,1,999,0,nonexistent,no
52,technician,married,basic.9y,no,yes,no,yes,may,mon,1666,1,999,0,nonexistent,no
41,admin.,married,university.degree,no,yes,no,yes,may,mon,577,1,999,0,nonexistent,no
56,technician,married,basic.4y,no,yes,no,yes,may,mon,137,1,999,0,nonexistent,no
58,management,,university.degree,no,yes,no,yes,may,mon,366,1,999,0,nonexistent,no
32,entrepreneur,married,high.school,no,yes,no,yes,may,mon,314,1,999,0,nonexistent,no
38,admin.,single,professional.course,no,no,no,yes,may,mon,160,1,999,0,nonexistent,no
57,admin.,married,university.degree,no,no,yes,yes,may,mon,212,1,999,0,nonexistent,no
44,admin.,married,university.degree,,yes,no,yes,may,mon,188,1,999,0,nonexistent,no
42,technician,single,professional.course,,no,no,yes,may,mon,22,1,999,0,nonexistent,no
57,admin.,married,university.degree,no,yes,yes,yes,may,mon,616,1,999,0,nonexistent,no
40,blue-collar,married,basic.9y,no,no,yes,yes,may,mon,178,1,999,0,nonexistent,no
35,admin.,married,university.degree,no,yes,no,yes,may,mon,355,1,999,0,nonexistent,no
45,blue-collar,married,basic.9y,no,yes,no,yes,may,mon,225,2,999,0,nonexistent,no
54,admin.,married,high.school,no,no,no,yes,may,mon,160,1,999,0,nonexistent,no
39,housemaid,married,basic.4y,no,no,yes,yes,may,mon,266,1,999,0,nonexistent,no
60,admin.,married,high.school,no,no,no,yes,may,mon,253,1,999,0,nonexistent,no
53,admin.,single,professional.course,no,no,no,yes,may,mon,179,1,999,0,nonexistent,no
55,blue-collar,married,basic.4y,,no,no,yes,may,mon,269,2,999,0,nonexistent,no
55,technician,married,professional.course,,yes,no,yes,may,mon,135,1,999,0,nonexistent,no
50,management,married,university.degree,,no,yes,yes,may,mon,161,1,999,0,nonexistent,no
45,services,married,high.school,,yes,no,yes,may,mon,787,1,999,0,nonexistent,no
55,unemployed,married,professional.course,,yes,yes,yes,may,mon,145,1,999,0,nonexistent,no
25,technician,single,university.degree,no,yes,no,yes,may,mon,174,1,999,0,nonexistent,no
47,entrepreneur,married,university.degree,,no,no,yes,may,mon,449,1,999,0,nonexistent,no
51,blue-collar,married,basic.9y,no,yes,no,yes,may,mon,812,1,999,0,nonexistent,no
42,blue-collar,married,basic.6y,,yes,no,yes,may,mon,164,1,999,0,nonexistent,no
42,blue-collar,married,basic.6y,,no,no,yes,may,mon,366,1,999,0,nonexistent,no
48,admin.,married,high.school,no,no,no,yes,may,mon,357,1,999,0,nonexistent,no
37,admin.,married,university.degree,no,no,no,yes,may,mon,232,1,999,0,nonexistent,no
44,blue-collar,single,basic.9y,no,yes,no,yes,may,mon,91,1,999,0,nonexistent,no
33,admin.,married,,no,yes,no,yes,may,mon,273,1,999,0,nonexistent,no
56,admin.,married,basic.9y,no,yes,no,yes,may,mon,158,2,999,0,nonexistent,no
44,blue-collar,single,basic.4y,,yes,yes,yes,may,mon,177,1,999,0,nonexistent,no
41,management,married,basic.6y,no,no,no,yes,may,mon,200,1,999,0,nonexistent,no
44,management,divorced,university.degree,no,yes,no,yes,may,mon,172,1,999,0,nonexistent,no
47,admin.,married,university.degree,,yes,no,yes,may,mon,176,1,999,0,nonexistent,no
57,,married,,,no,no,yes,may,mon,211,1,999,0,nonexistent,no
37,admin.,married,university.degree,,yes,no,yes,may,mon,214,1,999,0,nonexistent,no
41,blue-collar,divorced,basic.4y,,yes,no,yes,may,mon,1575,1,999,0,nonexistent,yes
55,technician,married,university.degree,no,no,no,yes,may,mon,349,1,999,0,nonexistent,no
33,services,married,high.school,,yes,no,yes,may,mon,337,2,999,0,nonexistent,no
55,management,married,,,yes,no,yes,may,mon,272,1,999,0,nonexistent,no
42,blue-collar,married,basic.9y,,no,no,yes,may,mon,208,1,999,0,nonexistent,no
50,blue-collar,married,basic.4y,,yes,no,yes,may,mon,193,1,999,0,nonexistent,no
51,blue-collar,married,basic.4y,,,,yes,may,mon,212,1,999,0,nonexistent,no
38,admin.,married,high.school,,no,no,yes,may,mon,165,2,999,0,nonexistent,no
49,entrepreneur,married,university.degree,,yes,no,yes,may,mon,1042,1,999,0,nonexistent,yes
38,technician,single,university.degree,no,no,yes,yes,may,mon,20,1,999,0,nonexistent,no
31,admin.,divorced,high.school,no,no,no,yes,may,mon,246,1,999,0,nonexistent,no
41,management,married,basic.6y,no,no,no,yes,may,mon,529,2,999,0,nonexistent,no
39,admin.,married,university.degree,no,yes,yes,yes,may,mon,192,1,999,0,nonexistent,no
49,technician,married,basic.9y,no,no,no,yes,may,mon,1467,1,999,0,nonexistent,yes
34,admin.,married,high.school,no,yes,no,yes,may,mon,188,2,999,0,nonexistent,no
35,admin.,married,university.degree,no,yes,no,yes,may,mon,180,2,999,0,nonexistent,no
57,,married,,,yes,no,yes,may,mon,48,1,999,0,nonexistent,no
60,admin.,married,,,no,yes,yes,may,mon,213,2,999,0,nonexistent,no
33,unemployed,married,basic.9y,no,no,no,yes,may,mon,545,1,999,0,nonexistent,no
42,blue-collar,married,basic.6y,no,no,yes,yes,may,mon,583,1,999,0,nonexistent,no
45,services,married,professional.course,no,yes,no,yes,may,mon,221,1,999,0,nonexistent,no
42,management,married,university.degree,no,no,no,yes,may,mon,426,1,999,0,nonexistent,no
53,admin.,divorced,university.degree,,no,no,yes,may,mon,287,1,999,0,nonexistent,no
37,technician,single,professional.course,no,no,no,yes,may,mon,197,1,999,0,nonexistent,no
44,blue-collar,married,basic.6y,no,no,no,yes,may,mon,257,1,999,0,nonexistent,no
54,services,married,,no,yes,no,yes,may,mon,229,1,999,0,nonexistent,no
49,blue-collar,married,basic.4y,no,no,no,yes,may,mon,55,3,999,0,nonexistent,no
54,services,married,,no,no,no,yes,may,mon,400,1,999,0,nonexistent,no
52,admin.,divorced,university.degree,no,no,no,yes,may,mon,197,1,999,0,nonexistent,no
52,admin.,divorced,university.degree,no,no,no,yes,may,mon,190,1,999,0,nonexistent,no
43,services,single,high.school,,no,no,yes,may,mon,21,1,999,0,nonexistent,no
34,housemaid,married,basic.6y,no,yes,no,yes,may,mon,300,2,999,0,nonexistent,no
35,admin.,married,high.school,no,yes,no,yes,may,mon,123,2,999,0,nonexistent,no
42,entrepreneur,married,,,yes,no,yes,may,mon,293,1,999,0,nonexistent,no
43,technician,married,,,yes,yes,yes,may,mon,325,1,999,0,nonexistent,no
60,retired,divorced,university.degree,,no,no,yes,may,mon,514,1,999,0,nonexistent,no
58,unemployed,married,basic.4y,,no,no,yes,may,mon,849,2,999,0,nonexistent,no
35,services,divorced,high.school,no,yes,no,yes,may,mon,194,1,999,0,nonexistent,no
55,blue-collar,married,basic.9y,,yes,no,yes,may,mon,212,2,999,0,nonexistent,no
37,management,married,university.degree,no,no,no,yes,may,mon,337,2,999,0,nonexistent,no
36,blue-collar,married,high.school,no,no,no,yes,may,mon,286,1,999,0,nonexistent,no
52,admin.,divorced,university.degree,no,no,no,yes,may,mon,247,2,999,0,nonexistent,no
57,blue-collar,divorced,,,yes,no,yes,may,mon,518,1,999,0,nonexistent,no
56,admin.,married,,no,yes,no,yes,may,mon,364,1,999,0,nonexistent,no
48,blue-collar,divorced,basic.4y,,yes,no,yes,may,mon,178,1,999,0,nonexistent,no
40,blue-collar,married,high.school,,yes,no,yes,may,mon,98,1,999,0,nonexistent,no
49,blue-collar,divorced,high.school,no,no,no,yes,may,mon,439,1,999,0,nonexistent,no
41,services,married,high.school,no,no,no,yes,may,mon,139,1,999,0,nonexistent,no
45,technician,married,high.school,no,yes,no,yes,may,mon,79,1,999,0,nonexistent,no
32,admin.,married,university.degree,no,yes,yes,yes,may,mon,175,1,999,0,nonexistent,no
42,admin.,married,university.degree,no,no,yes,yes,may,mon,262,2,999,0,nonexistent,no
50,admin.,married,basic.6y,no,no,no,yes,may,mon,61,1,999,0,nonexistent,no
31,technician,divorced,professional.course,no,yes,yes,yes,may,mon,78,1,999,0,nonexistent,no
56,retired,married,basic.4y,no,yes,no,yes,may,mon,102,2,999,0,nonexistent,no
41,technician,married,professional.course,,yes,no,yes,may,mon,579,1,999,0,nonexistent,yes
37,blue-collar,married,basic.6y,no,yes,yes,yes,may,mon,143,1,999,0,nonexistent,no
41,technician,married,professional.course,,no,no,yes,may,mon,677,1,999,0,nonexistent,no
35,blue-collar,married,,no,yes,no,yes,may,mon,267,1,999,0,nonexistent,no
37,blue-collar,married,basic.6y,no,yes,no,yes,may,mon,345,1,999,0,nonexistent,no
52,management,married,university.degree,no,no,no,yes,may,mon,185,1,999,0,nonexistent,no
39,management,divorced,university.degree,no,no,no,yes,may,mon,207,1,999,0,nonexistent,no
39,housemaid,married,basic.4y,,no,no,yes,may,mon,69,2,999,0,nonexistent,no
56,blue-collar,married,basic.4y,,no,no,yes,may,mon,100,2,999,0,nonexistent,no
34,services,married,high.school,no,yes,no,yes,may,mon,125,2,999,0,nonexistent,no
45,blue-collar,married,basic.9y,,yes,no,yes,may,mon,461,1,999,0,nonexistent,yes
43,unemployed,single,university.degree,no,yes,no,yes,may,mon,240,1,999,0,nonexistent,no
56,management,married,,no,yes,no,yes,may,mon,70,1,999,0,nonexistent,no
39,management,married,university.degree,no,yes,no,yes,may,mon,193,1,999,0,nonexistent,no
53,blue-collar,married,basic.4y,no,yes,no,yes,may,mon,136,1,999,0,nonexistent,no
38,,divorced,high.school,,yes,no,yes,may,mon,73,1,999,0,nonexistent,no
42,blue-collar,married,basic.4y,,yes,no,yes,may,mon,528,1,999,0,nonexistent,no
42,blue-collar,married,basic.4y,,no,no,yes,may,mon,541,1,999,0,nonexistent,no
35,admin.,single,high.school,no,yes,no,yes,may,mon,338,1,999,0,nonexistent,no
40,admin.,married,university.degree,,yes,no,yes,may,mon,163,1,999,0,nonexistent,no
51,blue-collar,married,basic.4y,no,yes,no,yes,may,mon,87,1,999,0,nonexistent,no
60,blue-collar,married,basic.9y,,no,no,yes,may,mon,301,1,999,0,nonexistent,no
56,entrepreneur,married,,,yes,no,yes,may,mon,46,1,999,0,nonexistent,no
39,services,divorced,high.school,,yes,no,yes,may,mon,52,1,999,0,nonexistent,no
56,entrepreneur,married,,,no,no,yes,may,mon,204,1,999,0,nonexistent,no
40,blue-collar,married,,no,yes,yes,yes,may,mon,155,1,999,0,nonexistent,no
36,blue-collar,married,basic.9y,no,yes,yes,yes,may,mon,98,1,999,0,nonexistent,no
51,blue-collar,married,,,yes,no,yes,may,mon,71,1,999,0,nonexistent,no
51,blue-collar,married,,,no,no,yes,may,mon,243,1,999,0,nonexistent,no
43,technician,single,professional.course,no,yes,no,yes,may,mon,186,2,999,0,nonexistent,no
59,services,married,high.school,no,no,no,yes,may,mon,579,2,999,0,nonexistent,no
