interveningOpponents,interveningTeammates,minute,second,label,distance,angle,playType_جریان بازی,playType_ضربه آزاد مستقیم,playType_مستقیم از کرنر,playType_پنالتی,bodyPart_سایر,bodyPart_سر,bodyPart_پا,interferenceOnShooter_زیاد,interferenceOnShooter_متوسط,interferenceOnShooter_کم
1,0,70,9,1,17.530810021216933,18.54408751643558,1,0,0,0,0,0,1,0,1,0
3,0,55,4,0,17.090313045699308,13.982592487966803,1,0,0,0,0,0,1,0,1,0
6,2,86,31,0,29.456534079894737,14.153254558448031,0,1,0,0,0,0,1,0,0,1
4,1,77,2,0,26.94856025838857,15.458384060145306,1,0,0,0,0,0,1,0,1,0
2,0,76,46,1,11.932141467481856,31.31591767184017,1,0,0,0,0,0,1,0,1,0
1,0,40,15,0,5.691230095506595,64.70199666137884,1,0,0,0,0,1,0,0,0,1
3,0,88,8,0,14.513927793674599,28.217620984698886,1,0,0,0,0,1,0,0,1,0
1,0,10,29,0,10.27329061206778,35.503000773870625,1,0,0,0,0,1,0,0,0,1
3,0,58,45,0,23.473306115671054,17.70102480544618,1,0,0,0,0,0,1,0,1,0
2,1,43,55,0,9.371792784734414,39.825787946920066,1,0,0,0,0,0,1,0,1,0
2,0,6,45,0,14.11385135248349,21.463415518086098,1,0,0,0,0,1,0,0,1,0
3,0,5,42,0,15.556712377620151,18.136328063675833,1,0,0,0,0,0,1,0,0,1
2,0,54,41,0,15.971890933762353,20.689093973236645,1,0,0,0,0,0,1,0,1,0
3,0,16,29,0,11.590017256242547,33.5844742910857,1,0,0,0,0,1,0,0,1,0
2,0,88,44,0,23.02234132315825,14.08623516475427,1,0,0,0,0,0,1,0,0,1
2,0,50,44,0,5.80152566141011,41.97300817846122,1,0,0,0,0,1,0,0,1,0
4,1,90,6,0,22.974030991534768,18.078415208000482,1,0,0,0,0,0,1,0,1,0
1,1,18,37,0,7.287503001714648,39.61207010341655,1,0,0,0,0,1,0,0,0,1
3,0,48,28,0,29.81250241090137,13.25934426819969,1,0,0,0,0,0,1,0,1,0
2,0,45,26,0,8.437298145733621,30.979324912018285,1,0,0,0,0,1,0,0,1,0
2,0,42,37,0,17.48082663949277,18.00073802345754,1,0,0,0,0,0,1,1,0,0
4,0,12,17,0,11.296924360196453,31.94511948027957,1,0,0,0,0,0,1,0,0,1
1,0,11,51,0,12.876272752625272,31.422819325483786,1,0,0,0,0,0,1,0,0,1
1,0,88,20,1,8.784816446574169,39.68647990309388,1,0,0,0,0,1,0,0,0,1
2,0,57,43,0,15.189430535737673,24.002613295897095,1,0,0,0,0,0,1,0,0,1
2,0,0,58,0,23.567046908766486,13.816623024372307,1,0,0,0,0,0,1,0,0,1
4,0,63,42,0,23.031248337856113,10.20855650245796,1,0,0,0,0,0,1,0,0,1
3,0,86,56,0,18.76006396577581,22.015010812969987,1,0,0,0,0,0,1,0,0,1
1,0,67,57,0,8.762157268618271,45.235783769876605,1,0,0,0,0,0,1,0,1,0
2,0,54,22,0,7.24486024709932,50.50636001403097,1,0,0,0,0,0,1,0,0,1
2,0,36,25,1,10.492521146035399,34.9424486223847,1,0,0,0,0,0,1,0,0,1
3,0,50,8,1,13.574461315278777,28.586772818789868,1,0,0,0,0,0,1,0,1,0
3,0,29,58,0,24.529706480102856,16.25931800061945,1,0,0,0,0,0,1,0,0,1
8,3,39,9,0,28.089588818635278,14.766676462003979,0,1,0,0,0,0,1,0,0,1
2,0,18,33,0,24.70138862493362,16.84903551707772,1,0,0,0,0,0,1,0,0,1
1,0,58,41,1,10.97,36.90123249850194,0,0,0,1,0,0,1,0,0,1
3,0,4,20,0,16.607266481874735,14.063402747560986,1,0,0,0,0,0,1,1,0,0
2,0,85,36,0,9.893078388449169,35.493911251206974,1,0,0,0,0,1,0,0,0,1
3,0,46,47,1,9.933423377667943,39.86863207938925,1,0,0,0,0,1,0,0,1,0
5,0,86,30,1,22.090780882531064,18.70307532616987,0,1,0,0,0,0,1,0,0,1
3,1,23,32,0,19.226024029944416,12.422241790363215,1,0,0,0,0,0,1,0,1,0
2,0,15,25,0,16.535758222712378,21.117445234610397,1,0,0,0,0,0,1,0,0,1
2,0,23,9,1,5.886229693105766,50.24330468398792,1,0,0,0,0,0,1,1,0,0
4,0,35,26,0,14.146070125656808,19.892799186424615,1,0,0,0,0,0,1,1,0,0
1,0,90,2,0,5.524499977373519,65.94149400005497,1,0,0,0,0,0,1,0,0,1
1,0,68,39,0,7.9956488167002435,49.136247166985335,1,0,0,0,0,1,0,0,0,1
3,1,63,31,0,20.267831655112985,17.108463277282276,1,0,0,0,0,0,1,1,0,0
3,0,68,44,0,13.831156856893786,29.445425972516553,1,0,0,0,0,0,1,0,1,0
1,0,89,20,1,12.426817774474687,26.794859728271195,1,0,0,0,0,0,1,0,1,0
2,0,72,41,0,15.31034290928848,26.73728200396337,1,0,0,0,0,1,0,1,0,0
1,0,44,39,0,13.61224816112313,23.53933141240885,1,0,0,0,0,0,1,1,0,0
3,0,40,12,0,11.660437384592399,24.780049312874546,1,0,0,0,0,1,0,0,1,0
6,0,85,9,0,16.7981903787283,23.49224858244868,1,0,0,0,0,0,1,0,1,0
1,0,60,44,0,14.293138213842335,20.46040842755002,1,0,0,0,0,0,1,0,0,1
2,0,16,14,0,14.41436089460785,23.361616326727628,1,0,0,0,0,1,0,1,0,0
