,fi
angle,0.05955955536196167
distance,0.058009958548338014
interveningOpponents,0.04429950882374258
playType_پنالتی,0.015816788031993476
interveningTeammates,0.008254062695025204
minute,0.005363961839696166
interferenceOnShooter_کم,0.00430742994862815
second,0.003790938099450067
playType_جریان بازی,0.003353141813616234
interferenceOnShooter_زیاد,0.003124208174030689
bodyPart_سایر,0.0013266946800092813
interferenceOnShooter_متوسط,0.0006990950582834998
playType_ضربه آزاد مستقیم,0.0005282856015374413
playType_مستقیم از کرنر,0.00018548708769043176
bodyPart_پا,6.95180800303341e-05
bodyPart_سر,6.569819794577381e-07
