author,published,site_url,type,label
No Author,2016-11-01T03:28:50.389+02:00,clickhole.com,satire,Fake
Anonymous,2016-10-27T21:30:00.000+03:00,abeldanger.net,bs,Fake
Kali74,2016-10-27T02:54:49.093+03:00,abovetopsecret.com,bs,Fake
Alex Ansary,2016-11-04T22:44:06.026+02:00,amtvmedia.com,bs,Fake
Luke Stranahan,2016-11-23T15:10:56.702+02:00,returnofkings.com,hate,Real
Al Bundy,2016-10-26T19:27:00.000+03:00,prisonplanet.com,conspiracy,Fake
EdJenner,2016-11-13T06:02:47.949+02:00,100percentfedup.com,bias,Real
Fed Up,2016-11-22T21:26:00.000+02:00,100percentfedup.com,bias,Real
No Author,2016-11-05T03:00:36.461+02:00,dailywire.com,bias,Real
Eric Zuesse.,2016-10-31T05:40:12.397+02:00,westernjournalism.com,bias,Real
Mikael Thalen,2016-10-29T00:54:59.074+03:00,infowars.com,conspiracy,Fake
No Author,2016-11-16T05:23:59.305+02:00,countercurrents.org,bs,Fake
No Author,2016-11-11T17:42:00.000+02:00,clickhole.com,satire,Fake
Admin,2016-10-28T23:31:00.000+03:00,fromthetrenchesworldreport.com,bs,Fake
No Author,2016-11-21T21:18:43.762+02:00,dailywire.com,bias,Real
crazyewok,2016-10-27T17:58:45.095+03:00,abovetopsecret.com,bs,Fake
David G. Brown,2016-10-28T19:52:54.756+03:00,returnofkings.com,hate,Real
No Author,2016-10-29T16:33:53.241+03:00,awdnews.com,conspiracy,Fake
Itamar Marcus,2016-10-27T09:20:33.446+03:00,frontpagemag.com,hate,Real
ahtribune.com,2016-11-22T02:00:00.000+02:00,ahtribune.com,bs,Fake
Anonymous,2016-10-30T01:37:00.000+03:00,abeldanger.net,bs,Fake
Donna,2016-11-20T17:11:00.000+02:00,theeconomiccollapseblog.com,bs,Fake
Letsbereal,2016-10-26T17:50:00.000+03:00,prisonplanet.com,conspiracy,Fake
-NO AUTHOR-,2016-10-27T00:23:56.388+03:00,wnd.com,bias,Real
jaded,2016-10-27T10:26:01.938+03:00,dcclothesline.com,bs,Fake
Mike Rivero,2016-11-13T19:46:48.693+02:00,allnewspipeline.com,bs,Fake
No Author,2016-11-12T02:14:05.550+02:00,clickhole.com,satire,Fake
No Author,2016-11-14T21:18:48.016+02:00,clickhole.com,satire,Fake
No Author,2016-10-27T18:43:00.000+03:00,awdnews.com,conspiracy,Fake
Alex Ansary,2016-10-28T05:35:13.475+03:00,amtvmedia.com,bs,Fake
Ruby Rowell,2016-10-26T22:46:37.605+03:00,westernjournalism.com,bias,Real
Mikael Thalen,2016-10-29T13:10:13.738+03:00,infowars.com,conspiracy,Fake
Alex Ansary,2016-11-07T20:01:08.718+02:00,amtvmedia.com,bs,Fake
Alex Jones,2016-10-27T18:25:37.275+03:00,infowars.com,conspiracy,Fake
Michael Snyder,2016-10-31T13:12:38.048+02:00,dcclothesline.com,bs,Fake
Daniel Greenfield,2016-10-28T14:52:36.662+03:00,frontpagemag.com,hate,Real
Mirror.co.uk,2016-10-26T21:37:22.918+03:00,infowars.com,conspiracy,Fake
Jason Easley,2016-10-31T18:59:17.625+02:00,politicususa.com,bias,Real
"David Gutierrez, staff writer",2016-10-30T13:00:00.000+02:00,naturalnews.com,junksci,Fake
Isaac Davis,2016-10-30T12:29:21.111+02:00,dcclothesline.com,bs,Fake
EdJenner,2016-11-13T23:00:28.986+02:00,dailywire.com,bias,Real
Activist Post,2016-10-27T18:00:33.040+03:00,activistpost.com,conspiracy,Fake
-NO AUTHOR-,2016-10-27T00:39:36.094+03:00,wnd.com,bias,Real
Craig Murphy,2016-10-26T22:46:46.529+03:00,westernjournalism.com,bias,Real
-NO AUTHOR-,2016-10-27T00:04:48.254+03:00,wnd.com,bias,Real
No Author,2016-10-27T14:53:00.000+03:00,addictinginfo.org,bias,Real
Anonymous,2016-10-29T22:25:00.000+03:00,abeldanger.net,bs,Fake
Sarah Jones,2016-10-29T04:08:21.454+03:00,politicususa.com,bias,Real
The Funny Farmer,2016-10-28T15:53:03.735+03:00,fromthetrenchesworldreport.com,bs,Fake
Thrishul,2016-11-23T09:06:00.000+02:00,ahtribune.com,bs,Fake
No Author,2016-11-02T21:07:00.000+02:00,clickhole.com,satire,Fake
No Author,2016-11-09T18:26:28.956+02:00,clickhole.com,satire,Fake
No Author,2016-11-04T22:47:00.000+02:00,clickhole.com,satire,Fake
Activist Post,2016-10-27T21:10:29.195+03:00,activistpost.com,conspiracy,Fake
Corbett,2016-11-01T19:29:20.309+02:00,corbettreport.com,bs,Fake
No Author,2016-11-09T00:52:02.481+02:00,legorafi.fr,satire,Fake
No Author,2016-10-30T13:10:51.726+02:00,awdnews.com,conspiracy,Fake
Roosh Valizadeh,2016-11-20T07:00:00.000+02:00,returnofkings.com,hate,Real
admin,2016-10-26T22:52:00.000+03:00,prisonplanet.com,conspiracy,Fake
Corbett,2016-11-06T21:38:49.637+02:00,corbettreport.com,bs,Fake
reasoning with facts,2016-10-29T08:47:11.259+03:00,100percentfedup.com,bias,Real
Paul Craig Roberts,2016-11-02T16:35:02.784+02:00,thedailysheeple.com,bs,Fake
Pamela Geller,2016-10-27T13:22:11.250+03:00,dcclothesline.com,bs,Fake
Amy Goodrich,2016-11-01T09:31:26.225+02:00,naturalnews.com,junksci,Fake
Sean Brown,2016-11-04T19:14:00.000+02:00,americasfreedomfighters.com,bs,Fake
The Funny Farmer,2016-10-28T15:53:01.191+03:00,fromthetrenchesworldreport.com,bs,Fake
No Author,2016-10-27T21:14:42.443+03:00,awdnews.com,conspiracy,Fake
Activist Post,2016-11-04T17:27:28.247+02:00,activistpost.com,conspiracy,Fake
"Mike Adams, NaturalNews Editor",2016-11-02T07:13:15.455+02:00,naturalnews.com,junksci,Fake
Dml Daily,2016-10-29T08:00:00.000+03:00,dennismichaellynch.com,bs,Fake
tokyowashi (noreply@blogger.com),2016-10-29T23:54:43.950+03:00,abeldanger.net,bs,Fake
Mike Adams,2016-11-04T05:25:00.000+02:00,newstarget.com,conspiracy,Fake
Jamie White,2016-10-28T18:38:16.482+03:00,infowars.com,conspiracy,Fake
Paula Walker,2016-10-28T15:52:58.176+03:00,fromthetrenchesworldreport.com,bs,Fake
No Author,2016-10-26T23:44:36.591+03:00,awdnews.com,conspiracy,Fake
Matt Agorist,2016-11-01T15:09:27.138+02:00,thefreethoughtproject.com,bs,Fake
No Author,2016-11-08T23:06:45.440+02:00,legorafi.fr,satire,Fake
Saurav Dutt,2016-10-31T02:00:00.000+02:00,ahtribune.com,bs,Fake
Rich Hultén,2016-10-26T22:46:16.126+03:00,westernjournalism.com,bias,Real
No Author,2016-11-15T13:00:00.000+02:00,clickhole.com,satire,Fake
Sean Colarossi,2016-10-27T04:30:13.423+03:00,politicususa.com,bias,Real
No Author,2016-10-29T19:11:58.717+03:00,awdnews.com,conspiracy,Fake
Theoline Isaacson,2016-10-26T22:46:37.884+03:00,westernjournalism.com,bias,Real
Activist Post,2016-11-05T17:30:36.699+02:00,activistpost.com,conspiracy,Fake
admin,2016-10-27T18:55:04.007+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-11-09T17:05:18.331+02:00,legorafi.fr,satire,Fake
Tim Brown,2016-10-30T18:59:00.000+02:00,dcclothesline.com,bs,Fake
ahtribune.com,2016-10-29T03:00:00.000+03:00,ahtribune.com,bs,Fake
tokyowashi (noreply@blogger.com),2016-11-01T10:55:27.725+02:00,abeldanger.net,bs,Fake
Corbett,2016-11-21T21:40:00.000+02:00,corbettreport.com,bs,Fake
Twain Yobra,2016-10-31T21:47:44.073+02:00,naturalnews.com,junksci,Fake
Sarah Jones,2016-11-01T19:36:08.681+02:00,politicususa.com,bias,Real
No Author,2016-11-11T03:38:00.000+02:00,dailywire.com,bias,Real
No Author,2016-10-27T15:12:28.760+03:00,awdnews.com,conspiracy,Fake
No Author,2016-11-22T16:37:31.350+02:00,dailywire.com,bias,Real
No Author,2016-10-29T16:20:00.000+03:00,21stcenturywire.com,conspiracy,Fake
How Effective Are Books On Fitness?,2016-11-21T01:47:36.565+02:00,returnofkings.com,hate,Real
Ness Nomadison,2016-11-21T23:57:51.289+02:00,returnofkings.com,hate,Real
Kim Petersen,2016-11-14T02:00:00.000+02:00,ahtribune.com,bs,Fake
admin,2016-10-27T16:41:40.150+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-10-31T13:59:36.558+02:00,departed.co,bs,Fake
tokyowashi (noreply@blogger.com),2016-10-29T11:56:37.068+03:00,abeldanger.net,bs,Fake
No Author,2016-10-26T19:22:00.000+03:00,westernjournalism.com,bias,Real
Joe from MassPrivateI,2016-10-28T23:09:00.000+03:00,fromthetrenchesworldreport.com,bs,Fake
Activist Post,2016-11-09T18:00:25.921+02:00,activistpost.com,conspiracy,Fake
Fiona Miller,2016-10-28T00:03:00.000+03:00,infowars.com,conspiracy,Fake
Henry Wolff,2016-10-28T06:29:00.000+03:00,amren.com,bs,Fake
Michael Snyder,2016-10-31T13:13:00.664+02:00,dcclothesline.com,bs,Fake
?????? ???? ???? ?????????,2016-11-04T22:17:00.000+02:00,adobochronicles.com,fake,Fake
André du Pôle,2016-11-11T15:03:46.838+02:00,returnofkings.com,hate,Real
No Author,2016-10-27T17:55:00.000+03:00,awdnews.com,conspiracy,Fake
No Author,2016-11-02T07:05:45.847+02:00,returnofkings.com,hate,Real
Mike Smithy,2016-11-21T03:14:00.000+02:00,theeconomiccollapseblog.com,bs,Fake
recrisp,2016-10-27T02:54:51.149+03:00,abovetopsecret.com,bs,Fake
-NO AUTHOR-,2016-10-27T02:39:12.484+03:00,wnd.com,bias,Real
No Author,2016-10-30T21:49:39.974+02:00,ahtribune.com,bs,Fake
Julie Fidler,2016-10-28T05:09:42.462+03:00,infowars.com,conspiracy,Fake
Lloyd Billingsley,2016-10-31T11:09:00.000+02:00,frontpagemag.com,hate,Real
Admin,2016-10-27T02:41:42.945+03:00,fromthetrenchesworldreport.com,bs,Fake
No Author,2016-11-16T15:25:44.671+02:00,legorafi.fr,satire,Fake
Gillian,2016-11-07T18:20:49.917+02:00,thedailysheeple.com,bs,Fake
Jason Easley,2016-10-27T18:37:48.144+03:00,politicususa.com,bias,Real
No Author,2016-11-10T12:04:04.874+02:00,21stcenturywire.com,conspiracy,Fake
Staff,2016-11-08T05:41:11.897+02:00,davidduke.com,hate,Real
Hrafnkell Haraldsson,2016-10-30T02:03:36.811+02:00,politicususa.com,bias,Real
No Author,2016-11-08T22:33:19.889+02:00,legorafi.fr,satire,Fake
J. D. Heyes,2016-10-31T13:00:00.000+02:00,naturalnews.com,junksci,Fake
WindCharger,2016-10-27T17:58:32.835+03:00,abovetopsecret.com,bs,Fake
ActivistPost,2016-10-28T21:05:33.657+03:00,activistpost.com,conspiracy,Fake
admin,2016-10-26T22:41:00.000+03:00,prisonplanet.com,conspiracy,Fake
No Author,2016-11-12T06:59:00.000+02:00,dailywire.com,bias,Real
Jason Easley,2016-10-28T20:53:16.992+03:00,politicususa.com,bias,Real
David Knight,2016-10-26T21:54:53.756+03:00,infowars.com,conspiracy,Fake
marlene,2016-10-27T13:22:00.569+03:00,dcclothesline.com,bs,Fake
Corbett,2016-11-18T21:57:00.000+02:00,corbettreport.com,bs,Fake
Corbett,2016-11-08T17:50:11.059+02:00,corbettreport.com,bs,Fake
Steve Watson,2016-10-27T18:42:19.708+03:00,infowars.com,conspiracy,Fake
Jane Chastain,2016-10-27T03:04:50.704+03:00,wnd.com,bias,Real
"Ethan A. Huff, staff writer",2016-10-28T09:33:58.716+03:00,naturalnews.com,junksci,Fake
Admin,2016-10-29T04:55:04.636+03:00,darkmoon.me,bs,Fake
Activist Post,2016-11-01T17:05:20.744+02:00,activistpost.com,conspiracy,Fake
Dr. Patrick Slattery,2016-11-07T21:18:15.434+02:00,davidduke.com,hate,Real
Ryan Banister,2016-11-02T17:32:18.050+02:00,thedailysheeple.com,bs,Fake
Karl Simanonok,2016-11-19T04:28:00.000+02:00,ahtribune.com,bs,Fake
WATCH: My Summer Vacation In Croatia,2016-11-03T22:22:02.579+02:00,returnofkings.com,hate,Real
No Author,2016-11-10T06:11:00.000+02:00,clickhole.com,satire,Fake
Michael Brown,2016-10-27T03:04:54.788+03:00,wnd.com,bias,Real
EdJenner,2016-11-03T07:22:47.610+02:00,frontpagemag.com,hate,Real
Fed Up,2016-11-01T21:56:00.000+02:00,100percentfedup.com,bias,Real
Daniel Greenfield,2016-11-01T23:56:37.271+02:00,frontpagemag.com,hate,Real
Bob Menefee,2016-10-26T22:46:37.613+03:00,westernjournalism.com,bias,Real
Fiona Miller,2016-10-27T18:54:58.827+03:00,infowars.com,conspiracy,Fake
Dan Roodt,2016-10-27T06:53:19.289+03:00,amren.com,bs,Fake
EdJenner,2016-11-14T15:18:26.396+02:00,dailywire.com,bias,Real
Tru Foods Nutrition,2016-11-02T02:51:00.000+02:00,naturalnews.com,junksci,Fake
Sean Colarossi,2016-11-01T02:04:28.309+02:00,politicususa.com,bias,Real
Henry Wolff,2016-10-29T04:39:05.622+03:00,amren.com,bs,Fake
Infowars Nightly News,2016-10-28T01:12:00.266+03:00,infowars.com,conspiracy,Fake
Dr. Patrick Slattery,2016-11-18T00:51:39.322+02:00,davidduke.com,hate,Real
Larry Gallo,2016-10-26T22:46:36.960+03:00,westernjournalism.com,bias,Real
Hal Walter,2016-11-23T05:53:00.000+02:00,ahtribune.com,bs,Fake
EdJenner,2016-11-22T06:43:46.072+02:00,dailywire.com,bias,Real
EdJenner,2016-11-10T02:37:06.677+02:00,100percentfedup.com,bias,Real
hawkmo99,2016-10-31T02:35:34.486+02:00,dcclothesline.com,bs,Fake
No Author,2016-10-28T16:40:00.000+03:00,prisonplanet.com,conspiracy,Fake
Infowars.com,2016-10-27T07:44:14.320+03:00,infowars.com,conspiracy,Fake
Bob Unruh,2016-10-26T23:07:24.106+03:00,wnd.com,bias,Real
Jason Easley,2016-10-29T22:04:29.785+03:00,politicususa.com,bias,Real
No Author,2016-11-03T23:34:00.000+02:00,clickhole.com,satire,Fake
Activist Post,2016-11-03T03:00:37.361+02:00,activistpost.com,conspiracy,Fake
Steve Watson,2016-10-27T14:28:58.543+03:00,infowars.com,conspiracy,Fake
No Author,2016-11-14T21:18:45.922+02:00,clickhole.com,satire,Fake
Daniel Greenfield,2016-10-30T02:33:26.184+02:00,frontpagemag.com,hate,Real
Debbie Bickers,2016-10-26T22:46:37.744+03:00,westernjournalism.com,bias,Real
carewemust,2016-10-28T06:57:18.127+03:00,abovetopsecret.com,bs,Fake
Mike Dan,2016-10-27T22:43:00.000+03:00,naturalnews.com,junksci,Fake
No Author,2016-10-29T18:06:16.964+03:00,awdnews.com,conspiracy,Fake
tokyowashi (noreply@blogger.com),2016-11-02T02:41:31.968+02:00,abeldanger.net,bs,Fake
Jason Easley,2016-10-28T18:10:28.433+03:00,politicususa.com,bias,Real
EdJenner,2016-11-03T07:22:47.669+02:00,frontpagemag.com,hate,Real
No Author,2016-11-16T22:46:59.354+02:00,clickhole.com,satire,Fake
No Author,2016-11-25T15:28:38.752+02:00,madworldnews.com,junksci,Fake
Richard Behan,2016-11-04T02:00:00.000+02:00,ahtribune.com,bs,Fake
No Author,2016-10-28T18:34:50.073+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-27T18:45:00.000+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-27T00:19:57.067+03:00,awdnews.com,conspiracy,Fake
Jonathan Brooks,2016-10-31T03:54:14.559+02:00,dcclothesline.com,bs,Fake
Alex Ansary,2016-11-02T18:36:20.940+02:00,amtvmedia.com,bs,Fake
ActivistPost,2016-11-08T17:20:22.420+02:00,activistpost.com,conspiracy,Fake
Michael Cutler,2016-11-04T11:03:00.000+02:00,frontpagemag.com,hate,Real
gariac,2016-10-27T11:15:48.078+03:00,abovetopsecret.com,bs,Fake
Daniel Barker,2016-10-28T09:34:00.532+03:00,naturalnews.com,junksci,Fake
EdJenner,2016-11-11T05:42:29.253+02:00,dailywire.com,bias,Real
Alex Ansary,2016-10-31T19:54:37.919+02:00,amtvmedia.com,bs,Fake
Judy Zwyghuizen,2016-10-26T22:46:39.327+03:00,westernjournalism.com,bias,Real
Letsbereal,2016-10-26T17:33:00.000+03:00,prisonplanet.com,conspiracy,Fake
Anonymous,2016-11-01T05:15:00.000+02:00,abeldanger.net,bs,Fake
News Syndicator,2016-11-06T05:08:22.861+02:00,returnofkings.com,hate,Real
No Author,2016-10-27T18:59:00.000+03:00,awdnews.com,conspiracy,Fake
Dr. Patrick Slattery,2016-10-28T19:58:12.527+03:00,davidduke.com,hate,Real
EdJenner,2016-11-09T19:10:04.334+02:00,dailywire.com,bias,Real
xuenchen,2016-10-28T01:05:00.000+03:00,abovetopsecret.com,bs,Fake
Jon Anthony,2016-10-28T05:10:12.601+03:00,infowars.com,conspiracy,Fake
Beau Albrecht,2016-10-26T23:04:39.175+03:00,returnofkings.com,hate,Real
No Author,2016-11-22T07:58:00.000+02:00,addictinginfo.org,bias,Real
Don Anthony Dillon,2016-10-26T22:46:37.727+03:00,westernjournalism.com,bias,Real
Dave Lowery,2016-10-26T22:46:39.455+03:00,westernjournalism.com,bias,Real
Sarah Jones,2016-10-29T08:03:51.739+03:00,politicususa.com,bias,Real
No Author,2016-11-10T19:15:00.000+02:00,dailywire.com,bias,Real
Anonymous,2016-11-01T05:06:00.000+02:00,abeldanger.net,bs,Fake
Jason Easley,2016-10-30T18:24:32.286+02:00,politicususa.com,bias,Real
No Author,2016-10-28T18:34:50.081+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-29T19:04:52.894+03:00,awdnews.com,conspiracy,Fake
Paul Joseph Watson,2016-10-28T15:51:01.860+03:00,infowars.com,conspiracy,Fake
Kit Daniels,2016-10-28T01:12:00.296+03:00,infowars.com,conspiracy,Fake
Luke Stranahan,2016-11-09T18:01:15.796+02:00,returnofkings.com,hate,Real
No Author,2016-11-23T22:22:36.856+02:00,dailywire.com,bias,Real
Alex Ansary,2016-11-07T02:09:03.024+02:00,amtvmedia.com,bs,Fake
Daniel Greenfield,2016-10-30T13:39:16.216+02:00,frontpagemag.com,hate,Real
Fed Up,2016-11-07T02:43:00.000+02:00,100percentfedup.com,bias,Real
No Author,2016-10-26T23:53:00.000+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-27T15:12:29.174+03:00,awdnews.com,conspiracy,Fake
No Author,2016-10-28T18:40:17.748+03:00,awdnews.com,conspiracy,Fake
No Author,2016-11-08T16:05:09.711+02:00,dailywire.com,bias,Real
J. D. Heyes,2016-11-01T09:31:22.984+02:00,naturalnews.com,junksci,Fake
No Author,2016-10-26T10:41:00.000+03:00,addictinginfo.org,bias,Real
No Author,2016-11-14T21:18:46.193+02:00,clickhole.com,satire,Fake
James Balthis,2016-10-26T22:46:46.427+03:00,westernjournalism.com,bias,Real
Jade Rich,2016-10-31T21:48:10.776+02:00,naturalnews.com,junksci,Fake
Hrafnkell Haraldsson,2016-10-28T02:50:20.172+03:00,politicususa.com,bias,Real
Anonymous,2016-10-27T21:50:00.000+03:00,abeldanger.net,bs,Fake
Mike Merryman-Lotze,2016-10-27T16:57:00.000+03:00,counterpunch.org,bs,Fake
No Author,2016-11-10T14:42:00.000+02:00,21stcenturywire.com,conspiracy,Fake
No Author,2016-10-29T13:15:27.931+03:00,awdnews.com,conspiracy,Fake
Samantha Clove,2016-10-31T21:48:03.215+02:00,naturalnews.com,junksci,Fake
Alex Ansary,2016-10-27T15:31:55.537+03:00,amtvmedia.com,bs,Fake
Jared Taylor,2016-10-29T04:38:59.696+03:00,amren.com,bs,Fake
Pat Jorgensen,2016-10-26T22:46:39.471+03:00,westernjournalism.com,bias,Real
Alex Ansary,2016-11-07T20:01:08.261+02:00,amtvmedia.com,bs,Fake
"Ethan A. Huff, staff writer",2016-11-02T07:13:24.317+02:00,naturalnews.com,junksci,Fake
Jonathan Landsman,2016-10-27T11:36:16.439+03:00,naturalnews.com,junksci,Fake
J. D. Heyes,2016-10-29T14:00:00.000+03:00,naturalnews.com,junksci,Fake
Anonymous,2016-11-01T07:12:00.000+02:00,abeldanger.net,bs,Fake
No Author,2016-10-27T21:14:42.586+03:00,awdnews.com,conspiracy,Fake
Mike Rivero,2016-11-18T05:29:00.000+02:00,whatreallyhappened.com,bs,Fake
No Author,2016-11-09T00:24:44.324+02:00,clickhole.com,satire,Fake
CriticalStinker,2016-10-28T06:57:12.283+03:00,abovetopsecret.com,bs,Fake
Hrafnkell Haraldsson,2016-10-28T16:28:39.960+03:00,politicususa.com,bias,Real
marlene,2016-10-31T13:50:33.430+02:00,defenddemocracy.press,bs,Fake
No Author,2016-10-29T18:06:17.995+03:00,awdnews.com,conspiracy,Fake
EdJenner,2016-11-23T15:48:00.742+02:00,dailywire.com,bias,Real
Anonymous,2016-10-29T22:25:00.000+03:00,abeldanger.net,bs,Fake
Anonymous,2016-10-26T22:07:00.000+03:00,abeldanger.net,bs,Fake
"Ethan A. Huff, staff writer",2016-10-27T09:09:32.971+03:00,naturalnews.com,junksci,Fake
GunsAz,2016-10-26T22:46:37.257+03:00,westernjournalism.com,bias,Real
obama still has martial law,2016-11-22T05:38:00.000+02:00,thefreethoughtproject.com,bs,Fake
No Author,2016-11-10T13:05:39.781+02:00,legorafi.fr,satire,Fake
Isabelle Z.,2016-10-27T11:36:41.278+03:00,naturalnews.com,junksci,Fake
Henry Wolff,2016-11-05T00:24:00.000+02:00,amren.com,bs,Fake
Sponsored Post,2016-11-03T22:02:06.160+02:00,returnofkings.com,hate,Real
Kim Petersen,2016-11-07T02:00:00.000+02:00,ahtribune.com,bs,Fake
Alex Ansary,2016-11-02T18:47:19.431+02:00,amtvmedia.com,bs,Fake
No Author,2016-11-21T09:51:12.091+02:00,legorafi.fr,satire,Fake
