ServiceType,TypedStrings,AcceptString
flight,"['', 'ف', 'فل', 'فلو']",فلورانس
hotel,"['', 'H', 'H,', 'H', '', 'آ', 'آو', 'آوا', 'آواپ', 'آواپل', 'آواپلا', 'آواپلاس', 'آواپلا', 'آواپل', 'آواپ', 'آوا', 'آوا ', 'آوا پ', 'آوا پل', 'آوا پلس', 'آوا پلسا', 'آوا پلس', 'آوا پل', 'آوا پ', 'آوا پل', 'آوا پلا', 'آوا پلاس', 'آوا پلا', 'آوا پل', 'آوا پ', 'آوا ', 'آوا', 'آو', 'آ', '']",شیراز
hotel,"['', 'آ', 'آو', 'آوا', 'آواپ', 'آواپل', 'آواپلا', 'آواپلاس']",آواپلاس
hotel,[''],بین المللی اسپیناس خلیج فارس
bus,[''],تهران
bus,['تهران'],تهران
bus,"['', '']",اصفهان
taxi,['اصفهان'],اصفهان
flight,"['', 'ک', 'کا', 'کان', 'کانا', '', '', 'س', 'سر', 'سرد', 'سردر', 'سردری', 'سردریک', 'ف', 'فر', 'فرد']",فردریکتون
hotel,"['', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
hotel,"['', 'h', 'h,', 'h,h', 'h,', 'h', '', 'ا', 'او', 'اوا', 'اواپ', 'اواپل', 'اواپلا', 'اواپلاس', 'اواپلا']",آواپلاس
hotel,"['', 's', 'sh', 'shs', 'shsh', 'shs', 'sh', 's', '', 'س', '', 'ش', 'شی', 'شیر', 'شیرا', 'شیراز']",شیراز
flight,"['', 'h', 'h;', 'h;,', 'h;', 'h', '', 'ا', 'اک', 'اکو', 'اکون', 'اکونی', 'اکون', 'اکو', 'اکول']",اکولیویک
flight,[''],اصفهان
bus,['تهران'],تهران
taxi,['تهران'],تهران
flight,"['', 'د', 'دو', 'دوش', 'دوشن']",دوشنبه
flight,"['', 'م', 'مش', 'مشه']",مشهد
flight,"['', 'f', 'fv', 'fvg', 'fvgd', 'fvg', 'fv', 'f', '']",استانبول
flight,"['ب', 'بر', 'برل', 'برلی', 'برلین']",برلین
flight,"['', 'ب', 'بر', 'برل', 'برلی', 'برلین']",برلین
bus,['تهران'],تهران
flight,['شهید هاشمی نژاد'],تهران
flight,['مهرآباد'],مشهد
bus,['مشهد'],اصفهان
flight,[''],اراک
flight,[''],تهران
bus,['تهران'],تهران
hotel,"['', 'h', '', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
hotel,"['', 'ا', 'اص', 'اصف', 'اصفه', 'اصفها', 'اصفهان']",اصفهان
hotel,"['', 'H', 'H,', 'H,h', 'H,', 'H', '', 'آ', 'آو', 'آوا', 'آواپ', 'آواپل', 'آواپلا', 'آواپلاس']",آواپلاس
bus,"['کر', 'کرج']",کرج
train,[''],تهران
train,[''],قم
hotel,"['', 'غ', '', 'ف', 'فا', 'فاط', 'فاطی', 'فاطیم', 'فاطیما']",فاطیما
hotel,"['', 'پ', 'پر', 'پرس', 'پرسپ', 'پرسپو', 'پرسپول', 'پرسپولی', 'پرسپولیس']",پرسپولیس
train,[''],قم
bus,[''],تهران
hotel,"['', 'h', 'hd', 'h', '', 'ا', 'ای', 'ایب', 'ایبی', 'ایب', 'ای', 'ا', '']",آواپلاس
hotel,"['', 'h', 'hd', 'h', '', 'h', 'hd', 'h', '', 'ا', 'ای', 'ایب', 'ای', 'ا', '']",آواپلاس
flight,[''],استانبول
bus,['استانبول (ترکیه)'],اصفهان
hotel,"['', 'a', 'ad', 'a', '', 'ش', 'شی', 'شیر', 'شیرا', 'شیراز']",شیراز
flight,[''],تهران
flight,"['', '']",مشهد
flight,"['', '', '']",اهواز
flight,[''],نجف
taxi,[''],کاشان
taxi,[''],اصفهان
hotel,[''],تهران
bus,['مشهد'],مشهد
train,"['', '', '']",یزد
train,[''],مشهد
hotel,"['', 's']",شیراز
hotel,"['س', 'سا', 'ساس', 'ساسا']",ساسان
hotel,[''],اصفهان
flight,"['', 'ت', 'تل', 'ت', 'تف', 'تفل']",تفلیس
bus,['نجف (عراق)'],اصفهان
hotel,"['', 'ش', '']",ساسان
hotel,"['', 'پ', 'پا', 'پار', 'پارس', 'پارسی', 'پارسیا', 'پارسی', 'پارس', 'پار', 'پا', 'پ', '', 'a', '', 'ی', 'یز', 'یزد']",یزد
hotel,"['d', 'ی', 'یز']",یزد
flight,"['', '', '']",تهران
flight,[''],مشهد
flight,[''],اهواز
hotel,['d'],یزد
hotel,"['', 'j', 'jl', 'jlk', 'jlks', 'jlksd', 'jlksdj', 'jlksdjf', ' ']",مشهد
