City EN,City FA,Province,Countise,District,Latitude,Longitude,Area,Elevation,2016 Census,2011 Census,Wikipedia EN,Wikipedia FA,GeoHack
Ab Bar,آب‌بر,زنجان,طارم,مرکزی,36.9181,48.9647,709.0,,8091.0,6725.0,https://en.wikipedia.org/wiki/Ab_Bar,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%E2%80%8C%D8%A8%D8%B1_(%D8%B2%D9%86%D8%AC%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%E2%80%8C%D8%A8%D8%B1_(%D8%B2%D9%86%D8%AC%D8%A7%D9%86)&params=36.9181_N_48.9647_E_
Ab Pakhsh,آب‌پخش,بوشهر,دشتستان,آب‌پخش,29.363706,51.0701804,251204.0,7003.0,18913.0,17238.0,https://en.wikipedia.org/wiki/Ab_Pakhsh,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%E2%80%8C%D9%BE%D8%AE%D8%B4,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%E2%80%8C%D9%BE%D8%AE%D8%B4&params=29.363706_N_51.0701804_E_
Abad,آباد,بوشهر,تنگستان,مرکزی,29.0283,51.2491,45.0,,3787.0,3787.0,"https://en.wikipedia.org/wiki/Abad,_Bushehr",https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF_(%D8%AA%D9%86%DA%AF%D8%B3%D8%AA%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%A7%D8%AF_(%D8%AA%D9%86%DA%AF%D8%B3%D8%AA%D8%A7%D9%86)&params=29.0283_N_51.2491_E_
Abadan,آبادان,خوزستان,آبادان,مرکزی,30.339167,48.304167,3.0,,231476.0,212744.0,"https://en.wikipedia.org/wiki/Abadan,_Iran",https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF%D8%A7%D9%86,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%A7%D8%AF%D8%A7%D9%86&params=30.339167_N_48.304167_E_
Abadeh,آباده,فارس,آباده,مرکزی,31.18,52.67,1890.0,,59116.0,55758.0,https://en.wikipedia.org/wiki/Abadeh,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF%D9%87,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%A7%D8%AF%D9%87&params=31.18_N_52.67_E_
Abadeh Tashk,آباده طشک,فارس,بختگان,مرکزی,,,1600.0,,7379.0,7562.0,https://en.wikipedia.org/wiki/Abadeh_Tashk,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D8%AF%D9%87_%D8%B7%D8%B4%DA%A9,
Abali,آبعلی,تهران,دماوند,رودهن,35.7631,51.9656,2034.0,,2758.0,2522.0,https://en.wikipedia.org/wiki/Abali,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%B9%D9%84%DB%8C,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%B9%D9%84%DB%8C&params=35.7631_N_51.9656_E_
Abarkuh,ابرکوه,یزد,ابرکوه,مرکزی,31.1289,53.2824,1510.0,5800.0,27524.0,23986.0,https://en.wikipedia.org/wiki/Abarkuh,https://fa.wikipedia.org/wiki/%D8%A7%D8%A8%D8%B1%DA%A9%D9%88%D9%87,https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A7%D8%A8%D8%B1%DA%A9%D9%88%D9%87&params=31.1289_N_53.2824_E_
Abbasabad,عباس آباد,مازندران,عباس آباد,مرکزی,36.728845,51.106365,,,13482.0,11599.0,"https://en.wikipedia.org/wiki/Abbasabad,_Mazandaran",https://fa.wikipedia.org/wiki/%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF_(%D9%85%D8%A7%D8%B2%D9%86%D8%AF%D8%B1%D8%A7%D9%86),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%B9%D8%A8%D8%A7%D8%B3%E2%80%8C%D8%A2%D8%A8%D8%A7%D8%AF_(%D9%85%D8%A7%D8%B2%D9%86%D8%AF%D8%B1%D8%A7%D9%86)&params=36.728845_N_51.106365_E_
Abdan,آبدان,بوشهر,دیر,آبدان,28.079941,51.769155,,,6827.0,6211.0,https://en.wikipedia.org/wiki/Abdan,https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%AF%D8%A7%D9%86_(%D8%AF%DB%8C%D8%B1),https://geohack.toolforge.org/geohack.php?language=fa&pagename=%D8%A2%D8%A8%D8%AF%D8%A7%D9%86_(%D8%AF%DB%8C%D8%B1)&params=28.079941_N_51.769155_E_
